ID,Name,Height,Weight,Age,Sex,Profession,Salary,Количество Машин
1545,Фёдоров Эльдар,192.0,88.0,54,м,студент,274000,0
1546,Устинов Казимир,189.0,90.0,63,м,студент,472000,0
1547,Кириллов Артём,189.0,98.0,24,м,программист,481000,1
1549,Зайцев Ефим,171.0,106.0,79,м,автослесарь,354000,0
1550,Архипов Фаддей,186.0,58.0,24,м,сантехник,301000,1
1551,Дьячков Арсений,189.0,64.0,80,м,студент,25000,2
1552,Богданов Серафим,173.0,71.0,85,м,преподаватель,302000,0
1554,Некрасов Севастьян,173.0,116.0,59,м,преподаватель,368000,0
1555,Савельев Никон,179.0,92.0,68,м,продавец,329000,0
1556,Иванов Захар,171.0,94.0,66,м,сантехник,185000,0
1557,Молчанов Лев,187.0,82.0,84,м,сантехник,318000,0
1558,Рогов Захар,183.0,101.0,58,м,врач,283000,1
1559,Горбунов Бенедикт,193.0,73.0,71,м,инженер,480000,0
1560,Сидоров Святослав,194.0,85.0,45,м,врач,388000,0
1561,Голубев Тарас,172.0,107.0,44,м,программист,325000,1
1562,Носков Григорий,188.0,77.0,46,м,сантехник,206000,0
1563,Терентьев Илья,171.0,107.0,28,м,инженер,49000,0
1564,Морозов Яромир,193.0,98.0,74,м,студент,10000,0
1565,Сорокин Давид,192.0,118.0,75,м,инженер,344000,0
1566,Воронцов Вячеслав,176.0,91.0,72,м,врач,436000,1
1567,Белов Никанор,165.0,79.0,74,м,инженер,32000,1
1569,Ковалёв Митрофан,191.0,107.0,66,м,преподаватель,190000,0
1571,Прохоров Всеволод,168.0,71.0,34,м,продавец,265000,1
1572,Мартынов Вольдемар,171.0,118.0,63,м,программист,115000,1
1573,Сазонов Игорь,177.0,95.0,66,м,сантехник,15000,1
1574,Капустин Евстахий,181.0,71.0,73,м,врач,461000,1
1575,Никонов Кир,171.0,98.0,42,м,инженер,178000,1
1576,Копылов Давид,181.0,100.0,78,м,инженер,487000,2
1577,Тарасов Марат,172.0,64.0,36,м,преподаватель,232000,1
1578,Алексеев Роман,184.0,91.0,58,м,врач,311000,0
1579,Фокин Виктор,185.0,93.0,70,м,продавец,304000,0
1580,Мельников Виктор,191.0,117.0,63,м,врач,47000,1
1581,Мясников Аким,165.0,62.0,43,м,врач,210000,0
1582,Лебедев Егор,194.0,84.0,63,м,автослесарь,349000,0
1583,Никонов Станислав,190.0,105.0,36,м,врач,463000,1
1585,Лапин Сергей,176.0,52.0,62,м,бухгалтер,407000,2
1586,Носков Богдан,184.0,76.0,41,м,автослесарь,75000,1
1587,Мамонтов Виталий,189.0,72.0,48,м,студент,366000,1
1588,Савельев Августин,182.0,104.0,79,м,инженер,228000,1
1589,Павлов Никодим,192.0,57.0,52,м,инженер,202000,3
1590,Ширяев Данислав,191.0,65.0,48,м,продавец,228000,0
1591,Крылов Филимон,175.0,101.0,87,м,инженер,169000,0
1592,Михайлов Илларион,166.0,64.0,70,м,врач,414000,1
1594,Яковлев Роман,168.0,112.0,27,м,врач,94000,1
1595,Лихачёв Сидор,175.0,79.0,68,м,продавец,204000,0
1596,Павлов Кузьма,189.0,117.0,80,м,программист,210000,2
1597,Соколов Викентий,173.0,61.0,80,м,студент,175000,1
1598,Трофимов Глеб,172.0,68.0,60,м,инженер,253000,0
1599,Щукин Никола,187.0,57.0,78,м,сантехник,481000,0
1600,Третьяков Павел,166.0,77.0,81,м,сантехник,430000,0
1601,Никонов Юрий,184.0,84.0,74,м,студент,205000,0
1602,Тетерин Савелий,173.0,83.0,76,м,бухгалтер,188000,0
1604,Сысоев Степан,190.0,61.0,31,м,врач,385000,1
1605,Артемьев Александр,176.0,87.0,64,м,продавец,219000,0
1607,Миронов Трофим,169.0,74.0,38,м,преподаватель,287000,0
1608,Устинов Август,192.0,96.0,40,м,студент,216000,1
1609,Субботин Андрей,175.0,78.0,81,м,продавец,396000,2
1611,Новиков Данил,186.0,54.0,72,м,автослесарь,216000,0
1612,Беляков Остап,175.0,60.0,34,м,врач,229000,0
1613,Воронов Егорий,181.0,53.0,32,м,бухгалтер,479000,0
1614,Дмитриев Илья,171.0,102.0,39,м,студент,379000,1
1615,Богданов Владислав,168.0,57.0,78,м,инженер,394000,1
1616,Соколов Арсен,192.0,95.0,59,м,сантехник,241000,0
1617,Муравьёв Никифор,186.0,52.0,48,м,бухгалтер,13000,0
1618,Лебедев Харитон,175.0,67.0,67,м,преподаватель,35000,0
1619,Беляков Гавриил,187.0,50.0,39,м,бухгалтер,74000,0
1620,Борисов Аполлон,181.0,108.0,61,м,студент,204000,2
1621,Орлов Радослав,178.0,68.0,42,м,студент,445000,0
1622,Сергеев Лев,182.0,116.0,76,м,преподаватель,411000,0
1623,Гордеев Филимон,185.0,57.0,46,м,продавец,152000,0
1624,Якушев Агафон,193.0,113.0,62,м,сантехник,337000,1
1625,Виноградов Валерий,166.0,68.0,56,м,продавец,288000,1
1626,Баранов Павел,176.0,106.0,61,м,врач,70000,0
1627,Копылов Семен,193.0,64.0,72,м,автослесарь,105000,0
1628,Евсеев Самсон,187.0,66.0,21,м,студент,482000,1
1630,Кондратьев Максим,190.0,85.0,61,м,бухгалтер,475000,0
1632,Мышкин Никанор,170.0,87.0,54,м,сантехник,209000,1
1633,Григорьев Осип,188.0,118.0,20,м,инженер,86000,0
1634,Красильников Макарий,177.0,52.0,23,м,врач,295000,1
1635,Кудряшов Архип,172.0,91.0,50,м,врач,362000,1
1637,Сысоев Радик,189.0,79.0,50,м,сантехник,14000,0
1638,Семёнов Осип,175.0,73.0,27,м,инженер,308000,0
1639,Елисеев Иероним,184.0,72.0,78,м,автослесарь,206000,0
1640,Блохин Арсентий,193.0,79.0,66,м,бухгалтер,54000,0
1641,Жуков Лев,181.0,70.0,33,м,преподаватель,194000,0
1642,Никифоров Альберт,183.0,94.0,39,м,преподаватель,26000,1
1643,Маслов Святослав,170.0,59.0,42,м,врач,44000,1
1644,Павлов Остап,180.0,98.0,70,м,продавец,385000,0
1645,Киселёв Радик,173.0,64.0,82,м,инженер,284000,0
1646,Владимиров Прохор,169.0,89.0,50,м,студент,474000,1
1647,Беляков Антоний,172.0,62.0,83,м,инженер,19000,0
1649,Князев Василий,179.0,102.0,70,м,инженер,336000,2
1650,Ситников Андрей,176.0,61.0,46,м,автослесарь,166000,0
1651,Гуляев Яков,173.0,83.0,57,м,преподаватель,486000,0
1652,Родионов Станислав,181.0,98.0,64,м,преподаватель,436000,0
1653,Владимиров Савва,173.0,68.0,36,м,бухгалтер,66000,0
1654,Самсонов Павел,187.0,50.0,18,м,врач,143000,0
1655,Ермаков Наум,169.0,119.0,51,м,сантехник,457000,1
1656,Блинов Владислав,180.0,64.0,80,м,сантехник,149000,0
1657,Жданов Даниил,192.0,68.0,59,м,продавец,325000,2
1658,Наумов Фаддей,175.0,81.0,72,м,преподаватель,255000,1
1660,Гурьев Мартин,165.0,61.0,31,м,преподаватель,311000,0
1661,Герасимов Ярослав,166.0,96.0,51,м,бухгалтер,164000,1
1662,Николаев Денис,192.0,80.0,35,м,программист,111000,1
1664,Жуков Павел,188.0,104.0,41,м,преподаватель,86000,0
1665,Орехов Аким,178.0,52.0,33,м,инженер,319000,0
1666,Крюков Матвей,183.0,86.0,78,м,студент,435000,0
1668,Попов Захар,190.0,99.0,58,м,студент,414000,0
1669,Котов Ренат,169.0,51.0,52,м,бухгалтер,15000,0
1670,Лукин Ефим,190.0,53.0,70,м,студент,125000,1
1671,Белов Эрик,186.0,81.0,89,м,врач,460000,0
1672,Быков Дамир,189.0,88.0,19,м,продавец,321000,1
1673,Блохин Ярослав,191.0,75.0,38,м,врач,475000,0
1674,Павлов Станислав,174.0,85.0,70,м,программист,439000,0
1675,Кудряшов Рустам,194.0,101.0,19,м,преподаватель,255000,1
1676,Горбунов Вениамин,165.0,96.0,81,м,инженер,313000,0
1677,Гордеев Василий,194.0,72.0,18,м,продавец,91000,0
1678,Кулагин Владимир,175.0,105.0,54,м,врач,77000,1
1680,Воробьёв Данислав,180.0,68.0,86,м,программист,189000,0
1681,Филиппов Святослав,172.0,110.0,53,м,врач,45000,0
1682,Комаров Ждан,172.0,99.0,79,м,автослесарь,182000,0
1683,Морозов Зиновий,185.0,70.0,53,м,врач,158000,2
1684,Симонов Радомир,181.0,89.0,19,м,студент,16000,1
1685,Терентьев Кондрат,186.0,78.0,18,м,продавец,476000,1
1686,Князев Иван,169.0,77.0,64,м,сантехник,339000,0
1687,Куликов Парамон,187.0,107.0,87,м,врач,295000,0
1688,Панов Аким,179.0,87.0,22,м,бухгалтер,490000,0
1689,Павлов Ярослав,179.0,73.0,76,м,преподаватель,257000,0
1690,Беляков Тимофей,180.0,50.0,38,м,сантехник,321000,2
1691,Меркушев Филимон,186.0,89.0,35,м,автослесарь,113000,2
1692,Савин Матвей,192.0,90.0,51,м,студент,410000,0
1693,Григорьев Ефим,181.0,63.0,65,м,врач,196000,1
1695,Галкин Ян,194.0,97.0,82,м,бухгалтер,383000,0
1696,Ковалёв Демид,187.0,73.0,72,м,программист,259000,1
1697,Куликов Демьян,177.0,50.0,80,м,преподаватель,435000,0
1698,Самойлов Никодим,167.0,63.0,50,м,преподаватель,43000,0
1699,Иванов Самсон,170.0,116.0,42,м,врач,449000,0
1700,Стрелков Мирослав,174.0,116.0,43,м,врач,388000,0
1701,Филатов Никола,169.0,117.0,73,м,продавец,238000,0
1702,Романов Ярослав,175.0,72.0,50,м,программист,428000,0
1703,Абрамов Матвей,171.0,73.0,69,м,продавец,60000,1
1704,Панфилов Флор,194.0,95.0,71,м,автослесарь,486000,2
1705,Гуляев Савва,171.0,57.0,72,м,программист,219000,2
1706,Васильев Диомид,193.0,72.0,76,м,врач,81000,1
1707,Михеев Игнатий,182.0,54.0,25,м,врач,13000,0
1708,Лебедев Анатолий,176.0,80.0,46,м,продавец,498000,0
1710,Горшков Валентин,184.0,54.0,72,м,автослесарь,129000,0
1711,Кудрявцев Арсен,166.0,72.0,82,м,программист,192000,1
1712,Колесников Евгений,180.0,69.0,88,м,программист,301000,1
1713,Орехов Болеслав,180.0,71.0,34,м,преподаватель,480000,2
1714,Крылов Герасим,167.0,60.0,68,м,бухгалтер,333000,1
1715,Наумов Роман,174.0,112.0,47,м,врач,113000,0
1717,Веселов Пётр,189.0,64.0,82,м,продавец,256000,0
1718,Григорьев Вилен,189.0,104.0,64,м,студент,24000,0
1719,Пахомов Потап,190.0,101.0,29,м,программист,247000,1
1720,Рогов Феликс,187.0,101.0,65,м,программист,187000,1
1721,Кабанов Валентин,177.0,86.0,55,м,продавец,182000,0
1722,Кононов Платон,175.0,108.0,60,м,сантехник,160000,0
1723,Лаврентьев Бронислав,186.0,63.0,33,м,инженер,316000,0
1724,Лапин Виталий,186.0,87.0,23,м,автослесарь,164000,1
1725,Воронов Вилен,194.0,105.0,88,м,бухгалтер,160000,0
1726,Федосеев Лукьян,179.0,102.0,28,м,автослесарь,34000,3
1727,Симонов Авраам,186.0,104.0,27,м,студент,291000,0
1729,Колесников Альберт,180.0,97.0,32,м,автослесарь,323000,0
1732,Ситников Лукьян,172.0,103.0,50,м,программист,213000,2
1733,Туров Чарли,176.0,107.0,19,м,студент,373000,0
1734,Пахомов Анатолий,183.0,110.0,59,м,студент,362000,0
1735,Ефимов Влас,173.0,71.0,78,м,бухгалтер,280000,0
1736,Котов Савелий,186.0,90.0,32,м,студент,209000,1
1737,Галкин Радослав,192.0,116.0,87,м,преподаватель,364000,0
1738,Кузнецов Виталий,189.0,60.0,87,м,студент,267000,1
1739,Сафонов Августин,181.0,107.0,59,м,инженер,412000,0
1740,Осипов Артур,193.0,119.0,61,м,автослесарь,284000,1
1741,Белоусов Зиновий,194.0,102.0,85,м,преподаватель,419000,1
1742,Исаев Давид,173.0,100.0,64,м,программист,457000,1
1743,Кудряшов Демьян,191.0,101.0,35,м,сантехник,34000,0
1746,Александров Ефим,181.0,82.0,75,м,сантехник,499000,0
1747,Волков Роман,186.0,93.0,70,м,автослесарь,249000,0
1748,Смирнов Олег,178.0,52.0,69,м,сантехник,352000,3
1749,Мартынов Максим,176.0,90.0,79,м,сантехник,338000,2
1750,Герасимов Ростислав,185.0,74.0,51,м,инженер,24000,2
1751,Калинин Рустам,188.0,55.0,89,м,врач,244000,0
1752,Суворов Моисей,185.0,87.0,34,м,студент,142000,1
1753,Ковалёв Алексей,175.0,82.0,88,м,врач,294000,0
1754,Комиссаров Диомид,185.0,89.0,24,м,студент,287000,2
1755,Сазонов Кузьма,176.0,60.0,79,м,сантехник,28000,0
1756,Миронов Ринат,167.0,98.0,49,м,сантехник,425000,2
1757,Никифоров Радий,183.0,101.0,85,м,преподаватель,466000,1
1758,Колесников Александр,182.0,59.0,43,м,автослесарь,68000,1
1759,Самсонов Мирослав,189.0,83.0,47,м,студент,353000,0
1760,Ларионов Данил,165.0,104.0,20,м,инженер,454000,0
1762,Шилов Роман,188.0,73.0,51,м,врач,265000,0
1763,Комиссаров Влас,184.0,86.0,84,м,инженер,104000,0
1764,Силин Марат,188.0,63.0,39,м,студент,361000,0
1765,Овчинников Рустам,194.0,75.0,38,м,студент,434000,2
1766,Кабанов Платон,194.0,75.0,85,м,студент,152000,1
1767,Белоусов Всеволод,194.0,53.0,74,м,автослесарь,138000,2
1768,Беляков Валерий,176.0,85.0,57,м,бухгалтер,28000,1
1769,Соколов Моисей,172.0,70.0,49,м,автослесарь,231000,0
1770,Суворов Святослав,166.0,83.0,31,м,автослесарь,77000,0
1771,Фролов Кирилл,182.0,87.0,73,м,продавец,391000,1
1772,Зайцев Никола,183.0,101.0,47,м,преподаватель,107000,1
1773,Брагин Арсений,189.0,63.0,32,м,врач,302000,1
1774,Громов Глеб,186.0,79.0,50,м,сантехник,255000,0
1775,Панов Иосиф,174.0,64.0,75,м,продавец,190000,2
1776,Андреев Глеб,179.0,111.0,42,м,врач,82000,0
1777,Буров Григорий,193.0,115.0,33,м,студент,136000,0
1778,Михеев Чарли,173.0,61.0,54,м,преподаватель,24000,0
1779,Стрелков Кондрат,185.0,96.0,43,м,бухгалтер,45000,0
1780,Ершов Казимир,175.0,72.0,52,м,автослесарь,305000,1
1782,Лебедев Андрей,175.0,119.0,65,м,продавец,371000,0
1783,Васильев Кузьма,187.0,57.0,45,м,преподаватель,120000,1
1784,Белов Вадим,172.0,104.0,84,м,программист,226000,1
1785,Наумов Платон,165.0,84.0,67,м,автослесарь,446000,0
1787,Иванов Захар,180.0,56.0,85,м,студент,86000,0
1788,Ершов Данила,186.0,58.0,26,м,автослесарь,157000,0
1789,Юдин Бенедикт,178.0,103.0,20,м,автослесарь,62000,1
1790,Якушев Дамир,192.0,50.0,27,м,продавец,179000,2
1791,Лебедев Вольдемар,180.0,82.0,52,м,студент,331000,1
1792,Павлов Кир,188.0,112.0,19,м,преподаватель,285000,2
1793,Мухин Иосиф,172.0,105.0,56,м,инженер,92000,0
1794,Захаров Ростислав,166.0,95.0,87,м,инженер,42000,1
1795,Кабанов Димитрий,170.0,77.0,27,м,сантехник,224000,1
1796,Голубев Леонтий,175.0,72.0,80,м,преподаватель,206000,1
1797,Михеев Леонтий,194.0,52.0,71,м,бухгалтер,418000,0
1798,Яковлев Касьян,177.0,73.0,40,м,врач,447000,1
1799,Фокин Матвей,171.0,105.0,49,м,бухгалтер,327000,0
1800,Быков Димитрий,177.0,90.0,62,м,бухгалтер,407000,1
1801,Ершов Архип,168.0,112.0,21,м,студент,90000,0
1802,Шарапов Юрий,166.0,73.0,51,м,инженер,149000,0
1803,Колобов Климент,192.0,100.0,63,м,преподаватель,67000,1
1804,Ефремов Павел,179.0,83.0,77,м,врач,66000,1
1805,Ковалёв Филипп,167.0,59.0,20,м,программист,241000,1
1806,Макаров Юлий,179.0,76.0,79,м,преподаватель,403000,0
1807,Петров Агафон,169.0,96.0,67,м,студент,378000,1
1808,Никитин Феликс,183.0,71.0,48,м,студент,216000,1
1810,Русаков Ефрем,188.0,84.0,74,м,сантехник,459000,2
1811,Силин Роман,176.0,103.0,34,м,инженер,234000,0
1812,Рябов Иннокентий,181.0,113.0,36,м,врач,199000,0
1813,Лыткин Спартак,170.0,74.0,45,м,врач,223000,1
1814,Брагин Тимур,187.0,102.0,76,м,автослесарь,281000,1
1817,Николаев Касьян,175.0,55.0,53,м,сантехник,135000,2
1818,Гаврилов Савва,170.0,97.0,78,м,инженер,67000,1
1820,Осипов Иван,178.0,74.0,48,м,инженер,105000,0
1821,Кузьмин Павел,165.0,114.0,25,м,преподаватель,217000,1
1822,Овчинников Данила,181.0,78.0,24,м,бухгалтер,153000,1
1823,Соболев Савелий,167.0,71.0,39,м,сантехник,72000,1
1824,Артемьев Самсон,174.0,115.0,35,м,студент,84000,2
1825,Борисов Тимофей,168.0,67.0,21,м,программист,124000,0
1826,Кудрявцев Данил,172.0,82.0,54,м,преподаватель,332000,1
1827,Кудрявцев Руслан,175.0,95.0,25,м,врач,152000,1
1828,Некрасов Егорий,192.0,76.0,54,м,инженер,448000,0
1829,Шашков Казимир,186.0,62.0,34,м,продавец,424000,0
1831,Пестов Вениамин,167.0,73.0,32,м,программист,118000,0
1832,Воробьёв Давыд,170.0,52.0,63,м,инженер,420000,2
1833,Жданов Дамир,167.0,98.0,29,м,инженер,152000,1
1834,Игнатов Роман,189.0,102.0,71,м,программист,316000,0
1835,Дьячков Зиновий,172.0,114.0,53,м,инженер,400000,1
1837,Селезнёв Григорий,181.0,86.0,42,м,бухгалтер,368000,2
1838,Тихонов Никодим,170.0,76.0,47,м,бухгалтер,352000,0
1839,Белоусов Архип,179.0,116.0,68,м,бухгалтер,370000,0
1840,Селезнёв Архип,183.0,67.0,63,м,преподаватель,125000,0
1841,Кузнецов Авраам,174.0,53.0,60,м,сантехник,247000,2
1842,Пахомов Семён,169.0,68.0,28,м,автослесарь,314000,0
1843,Симонов Гавриил,190.0,98.0,59,м,студент,483000,1
1846,Григорьев Моисей,178.0,70.0,42,м,программист,135000,0
1847,Князев Аркадий,186.0,89.0,75,м,врач,376000,0
1848,Гордеев Аполлинарий,178.0,107.0,71,м,студент,20000,1
1849,Овчинников Зиновий,177.0,60.0,46,м,инженер,152000,0
1852,Пономарёв Сидор,183.0,77.0,80,м,студент,253000,0
1853,Романов Александр,180.0,70.0,27,м,врач,87000,0
1854,Зыков Август,187.0,66.0,55,м,инженер,298000,1
1855,Доронин Анисий,178.0,115.0,38,м,сантехник,20000,0
1856,Мишин Степан,181.0,99.0,69,м,программист,413000,1
1857,Макаров Денис,186.0,79.0,53,м,продавец,207000,0
1858,Власов Тимур,175.0,110.0,22,м,бухгалтер,447000,2
1859,Филатов Артём,184.0,65.0,29,м,студент,450000,0
1860,Виноградов Артём,167.0,65.0,35,м,врач,164000,3
1861,Федосеев Филипп,191.0,91.0,36,м,продавец,376000,0
1862,Пестов Яков,188.0,74.0,75,м,врач,319000,0
1863,Филатов Николай,188.0,71.0,74,м,инженер,302000,1
1864,Зыков Мирослав,184.0,108.0,87,м,инженер,379000,1
1865,Мишин Юрий,175.0,107.0,34,м,программист,69000,0
1866,Кондратьев Ефрем,167.0,52.0,52,м,преподаватель,198000,0
1867,Никифоров Кузьма,170.0,72.0,67,м,студент,265000,0
1868,Фокин Аркадий,183.0,117.0,56,м,студент,172000,1
1869,Козлов Осип,167.0,111.0,80,м,продавец,337000,1
1870,Новиков Никодим,192.0,59.0,51,м,студент,391000,1
1871,Наумов Игнат,179.0,87.0,85,м,автослесарь,247000,0
1872,Никонов Никон,181.0,62.0,34,м,бухгалтер,440000,1
1873,Русаков Игорь,177.0,83.0,51,м,программист,456000,1
1874,Меркушев Эдуард,168.0,54.0,40,м,сантехник,30000,0
1875,Лукин Макарий,187.0,79.0,62,м,студент,480000,2
1876,Фомин Артём,187.0,81.0,40,м,преподаватель,375000,0
1879,Исаев Вадим,181.0,63.0,38,м,автослесарь,240000,0
1880,Антонов Радомир,192.0,75.0,67,м,инженер,166000,1
1881,Ситников Харитон,182.0,52.0,79,м,студент,338000,0
1882,Котов Глеб,176.0,94.0,89,м,сантехник,298000,0
1883,Кузьмин Мирон,177.0,50.0,83,м,инженер,433000,0
1884,Андреев Самсон,183.0,100.0,81,м,продавец,355000,0
1885,Колесников Мартин,194.0,100.0,81,м,врач,325000,0
1886,Архипов Давид,191.0,111.0,29,м,продавец,160000,0
1887,Чернов Никодим,190.0,78.0,58,м,студент,14000,1
1888,Михеев Всеволод,179.0,85.0,27,м,бухгалтер,70000,0
1889,Бирюков Фёдор,165.0,55.0,78,м,автослесарь,151000,0
1891,Беляев Аким,180.0,104.0,44,м,преподаватель,315000,0
1892,Гуляев Зиновий,166.0,56.0,49,м,программист,283000,0
1893,Гришин Никон,183.0,103.0,75,м,автослесарь,238000,1
1894,Николаев Феликс,173.0,113.0,49,м,автослесарь,118000,1
1896,Филиппов Радий,176.0,114.0,29,м,врач,468000,1
1897,Сергеев Даниил,175.0,66.0,40,м,автослесарь,246000,0
1898,Богданов Анфим,168.0,104.0,71,м,сантехник,122000,0
1899,Носков Тимур,182.0,50.0,54,м,инженер,351000,0
1900,Кабанов Антоний,190.0,68.0,20,м,врач,467000,1
1901,Горбачёв Вениамин,186.0,53.0,69,м,преподаватель,485000,0
1902,Зуев Кузьма,169.0,57.0,42,м,врач,353000,0
1903,Павлов Наум,183.0,84.0,20,м,инженер,20000,2
1904,Русаков Виктор,187.0,74.0,40,м,бухгалтер,298000,0
1906,Григорьев Никанор,181.0,98.0,61,м,продавец,292000,0
1908,Тихонов Демид,189.0,81.0,74,м,врач,325000,1
1909,Костин Дмитрий,165.0,104.0,21,м,автослесарь,58000,1
1910,Брагин Марк,176.0,82.0,18,м,программист,168000,0
1911,Кулагин Аркадий,168.0,62.0,20,м,сантехник,109000,1
1912,Ефремов Казимир,178.0,104.0,49,м,продавец,341000,0
1913,Горшков Игнат,178.0,108.0,22,м,преподаватель,187000,2
1914,Комиссаров Илларион,189.0,83.0,82,м,врач,237000,0
1915,Евсеев Анастасий,176.0,109.0,80,м,автослесарь,11000,0
1916,Нестеров Эльдар,173.0,94.0,26,м,преподаватель,144000,1
1917,Коновалов Тарас,191.0,109.0,69,м,продавец,271000,0
1918,Прохоров Леонтий,168.0,78.0,31,м,бухгалтер,367000,1
1919,Анисимов Терентий,178.0,67.0,66,м,сантехник,34000,0
1920,Терентьев Антоний,191.0,54.0,25,м,программист,398000,0
1921,Блохин Давыд,167.0,93.0,24,м,программист,40000,0
1922,Павлов Булат,181.0,117.0,74,м,продавец,403000,1
1923,Муравьёв Никита,165.0,111.0,63,м,программист,486000,1
1924,Сидоров Гавриил,166.0,81.0,51,м,преподаватель,109000,1
1925,Петухов Вольдемар,176.0,78.0,83,м,врач,312000,1
1926,Матвеев Мирослав,169.0,100.0,23,м,продавец,435000,0
1927,Гришин Аполлон,192.0,69.0,82,м,продавец,131000,0
1928,Соколов Богдан,174.0,117.0,56,м,преподаватель,222000,1
1929,Тимофеев Булат,173.0,74.0,44,м,бухгалтер,417000,0
1930,Трофимов Гордей,180.0,62.0,30,м,автослесарь,181000,0
1931,Бирюков Остап,190.0,73.0,19,м,студент,45000,0
1932,Афанасьев Артур,178.0,51.0,39,м,преподаватель,293000,1
1933,Орлов Августин,186.0,86.0,35,м,инженер,365000,0
1934,Крылов Филимон,175.0,77.0,29,м,программист,208000,0
1935,Веселов Никифор,182.0,52.0,67,м,инженер,433000,2
1936,Иванов Архип,179.0,64.0,38,м,инженер,378000,3
1937,Ермаков Макарий,179.0,115.0,53,м,преподаватель,198000,3
1938,Доронин Ярослав,194.0,111.0,18,м,программист,98000,0
1940,Тихонов Федот,174.0,83.0,83,м,врач,285000,0
1942,Ефимов Никита,174.0,91.0,30,м,бухгалтер,441000,0
1943,Аксёнов Давыд,168.0,119.0,64,м,продавец,346000,1
1945,Казаков Арсентий,190.0,80.0,38,м,автослесарь,152000,0
1946,Силин Иеремия,186.0,111.0,87,м,сантехник,211000,1
1947,Миронов Федот,168.0,100.0,23,м,инженер,268000,0
1948,Сафонов Серафим,188.0,88.0,85,м,продавец,119000,1
1949,Жданов Филат,182.0,114.0,40,м,бухгалтер,29000,0
1950,Исаев Осип,193.0,57.0,89,м,студент,214000,0
1951,Журавлёв Ефим,194.0,113.0,24,м,автослесарь,248000,0
1952,Устинов Александр,193.0,72.0,67,м,программист,384000,0
1953,Беляков Филипп,172.0,66.0,22,м,сантехник,349000,0
1955,Аксёнов Евдоким,182.0,55.0,88,м,программист,429000,1
1956,Кузьмин Александр,165.0,75.0,36,м,преподаватель,209000,0
1957,Виноградов Игорь,184.0,112.0,39,м,преподаватель,135000,0
1958,Козлов Даниил,178.0,116.0,33,м,студент,22000,0
1959,Белов Савва,182.0,111.0,67,м,бухгалтер,289000,3
1960,Ермаков Сергей,194.0,80.0,69,м,автослесарь,228000,1
1961,Бобылёв Булат,187.0,91.0,68,м,программист,302000,1
1962,Евсеев Пётр,182.0,84.0,61,м,инженер,369000,2
1963,Попов Григорий,177.0,53.0,31,м,автослесарь,282000,1
1964,Игнатьев Казимир,192.0,79.0,75,м,инженер,406000,0
1965,Павлов Андрей,179.0,65.0,28,м,врач,452000,1
1966,Абрамов Альберт,177.0,60.0,78,м,сантехник,289000,0
1967,Сорокин Владислав,190.0,82.0,43,м,преподаватель,297000,2
1968,Горбачёв Руслан,176.0,96.0,55,м,преподаватель,118000,0
1969,Соколов Никита,182.0,116.0,51,м,продавец,67000,1
1970,Чернов Никита,178.0,114.0,52,м,студент,184000,4
1971,Стрелков Аполлон,175.0,95.0,57,м,инженер,62000,1
1974,Рогов Яромир,190.0,111.0,77,м,инженер,463000,0
1975,Власов Ярослав,165.0,53.0,55,м,бухгалтер,264000,0
1976,Аксёнов Захар,178.0,83.0,73,м,автослесарь,293000,0
1977,Артемьев Феликс,182.0,81.0,76,м,инженер,422000,1
1978,Авдеев Глеб,177.0,111.0,33,м,автослесарь,49000,0
1979,Комиссаров Болеслав,165.0,90.0,62,м,продавец,33000,0
1980,Ситников Матвей,186.0,54.0,49,м,инженер,259000,0
1981,Гришин Анастасий,169.0,94.0,42,м,студент,418000,1
1982,Гусев Арсений,178.0,64.0,18,м,инженер,64000,0
1983,Ершов Константин,175.0,105.0,55,м,инженер,342000,0
1984,Мамонтов Ренат,167.0,105.0,26,м,инженер,279000,0
1985,Крюков Федот,182.0,91.0,44,м,преподаватель,272000,1
1986,Тимофеев Юрий,188.0,72.0,84,м,сантехник,108000,2
1987,Жуков Никита,170.0,85.0,50,м,автослесарь,177000,0
1988,Иванков Виссарион,165.0,57.0,73,м,продавец,300000,1
1989,Григорьев Борис,188.0,91.0,85,м,автослесарь,33000,1
1991,Капустин Потап,178.0,117.0,20,м,продавец,352000,0
1993,Доронин Дмитрий,171.0,82.0,26,м,продавец,195000,1
1994,Петухов Илья,171.0,72.0,58,м,сантехник,394000,1
1995,Брагин Добрыня,167.0,64.0,72,м,программист,453000,1
1996,Анисимов Анисий,166.0,52.0,24,м,сантехник,426000,0
1998,Осипов Герман,177.0,60.0,19,м,продавец,122000,0
1999,Назаров Матвей,173.0,75.0,60,м,студент,132000,1
2000,Пахомов Владлен,187.0,60.0,37,м,продавец,495000,1
2001,Мартынов Андрей,178.0,52.0,64,м,преподаватель,191000,0
2002,Зуев Яков,169.0,92.0,64,м,инженер,336000,0
2003,Мартынов Давыд,167.0,70.0,52,м,автослесарь,44000,0
2004,Некрасов Елисей,188.0,85.0,81,м,бухгалтер,154000,3
2005,Русаков Сидор,188.0,56.0,65,м,бухгалтер,170000,1
2006,Гусев Анастасий,168.0,68.0,40,м,преподаватель,209000,1
2007,Рябов Родион,184.0,88.0,83,м,программист,264000,1
2008,Смирнов Осип,181.0,98.0,83,м,сантехник,112000,1
2009,Якушев Виталий,189.0,56.0,35,м,сантехник,185000,0
